1-6-8-11	arbok
1-6-8-12	arbor
1-6-9-1	arcade
1-6-9-2	arcana
1-6-9-3	arcane
1-6-9-4	arced
1-6-9-5	archaic
1-6-9-6	arched
1-6-9-7	archer
1-6-9-8	arches
1-6-9-9	archie
1-6-9-10	arching
1-6-9-11	archiv
1-6-9-12	archly
1-6-10-1	archway
1-6-10-2	arcola
1-6-10-3	arcsec
1-6-10-4	arctic
1-6-10-5	arcturus
1-6-10-6	arcus
1-6-10-7	ardea
1-6-10-8	ardent
1-6-10-9	ardor
1-6-10-10	arduosa
1-6-10-11	arduous
1-6-10-12	areas
1-6-11-1	arena
1-6-11-2	arenc
1-6-11-3	arener
1-6-11-4	arenes
1-6-11-5	areola
1-6-11-6	arete
1-6-11-7	argent
1-6-11-8	argive
1-6-11-9	arglos
1-6-11-10	argon
1-6-11-11	argosy
1-6-11-12	argot
1-6-12-1	arguable
1-6-12-2	arguably
1-6-12-3	argue
1-6-12-4	arguing
1-6-12-5	argus
1-6-12-6	arhat
1-6-12-7	ariana
1-6-12-8	arias
1-6-12-9	aridity
1-6-12-10	ariel
1-6-12-11	arier
1-6-12-12	aries
1-7-1-1	aright
1-7-1-2	arinka
1-7-1-3	arise
1-7-1-4	arising
1-7-1-5	arity
1-7-1-6	arius
1-7-1-7	arizona
1-7-1-8	arktis
1-7-1-9	armada
1-7-1-10	armband
1-7-1-11	armchair
1-7-1-12	armed
1-7-2-1	armee
1-7-2-2	armenia
1-7-2-3	armer
1-7-2-4	armful
1-7-2-5	armhole
1-7-2-6	armies
1-7-2-7	arming
1-7-2-8	armitage
1-7-2-9	armless
1-7-2-10	armlet
1-7-2-11	armoire
1-7-2-12	armpit
1-7-3-1	armrest
1-7-3-2	armut
1-7-3-3	arnauts
1-7-3-4	arniar
1-7-3-5	arnold
1-7-3-6	aroma
1-7-3-7	arose
1-7-3-8	around
1-7-3-9	arousal
1-7-3-10	arouse
1-7-3-11	arousing
1-7-3-12	arpella
1-7-4-1	arpis
1-7-4-2	arranant
1-7-4-3	arrange
1-7-4-4	arrant
1-7-4-5	array
1-7-4-6	arrears
1-7-4-7	arregla
1-7-4-8	arregnen
1-7-4-9	arrest
1-7-4-10	arrival
1-7-4-11	arrive
1-7-4-12	arrogant
1-7-5-1	arrow
1-7-5-2	arrupint
1-7-5-3	arrupix
1-7-5-4	arsch
1-7-5-5	arsen
1-7-5-6	arshin
1-7-5-7	arson
1-7-5-8	artana
1-7-5-9	arterio
1-7-5-10	artery
1-7-5-11	artful
1-7-5-12	arthouse
1-7-6-1	arthur
1-7-6-2	article
1-7-6-3	artifice
1-7-6-4	artig
1-7-6-5	artisan
1-7-6-6	artist
1-7-6-7	artless
1-7-6-8	artorc
1-7-6-9	aruba
1-7-6-10	arxiveu
1-7-6-11	aryan
1-7-6-12	arznei
1-7-7-1	asbest
1-7-7-2	ascend
1-7-7-3	ascent
1-7-7-4	ascetic
1-7-7-5	asche
1-7-7-6	aschig
1-7-7-7	ascii
1-7-7-8	ascites
1-7-7-9	ascot
1-7-7-10	ascribe
1-7-7-11	ascus
1-7-7-12	asepsis
1-7-8-1	aseptic
1-7-8-2	ashamed
1-7-8-3	ashen
1-7-8-4	ashes
1-7-8-5	ashore
1-7-8-6	ashur
1-7-8-7	asian
1-7-8-8	asiat
1-7-8-9	aside
1-7-8-10	asien
1-7-8-11	asilar
1-7-8-12	asile
1-7-9-1	asimov
1-7-9-2	asinine
1-7-9-3	askance
1-7-9-4	asked
1-7-9-5	askese
1-7-9-6	asket
1-7-9-7	askew
1-7-9-8	asking
1-7-9-9	asleep
1-7-9-10	asmara
1-7-9-11	asocial
1-7-9-12	aspect
1-7-10-1	aspekt
1-7-10-2	aspen
1-7-10-3	asper
1-7-10-4	aspiar
1-7-10-5	aspic
1-7-10-6	aspik
1-7-10-7	aspirant
1-7-10-8	aspirate
1-7-10-9	aspire
1-7-10-10	aspirin
1-7-10-11	assail
1-7-10-12	assam
1-7-11-1	assassin
1-7-11-2	assault
1-7-11-3	assclown
1-7-11-4	assembly
1-7-11-5	assent
1-7-11-6	asserim
1-7-11-7	assert
1-7-11-8	assess
1-7-11-9	asset
1-7-11-10	assez
1-7-11-11	asshole
1-7-11-12	assign
1-7-12-1	assist
1-7-12-2	assizes
1-7-12-3	assocau
1-7-12-4	assume
1-7-12-5	assuming
1-7-12-6	assure
1-7-12-7	assuring
1-7-12-8	astana
1-7-12-9	astat
1-7-12-10	aster
1-7-12-11	asthma
1-7-12-12	astir
1-8-1-1	astol
1-8-1-2	astonish
1-8-1-3	astor
1-8-1-4	astound
1-8-1-5	astraea
1-8-1-6	astral
1-8-1-7	astray
1-8-1-8	astride
1-8-1-9	astute
1-8-1-10	astwide
1-8-1-11	asunder
1-8-1-12	asura
1-8-2-1	asylum
1-8-2-2	atard
1-8-2-3	atauric
1-8-2-4	ataxia
1-8-2-5	ataxic
1-8-2-6	ataxie
1-8-2-7	atchison
1-8-2-8	atemorit
1-8-2-9	atenya
1-8-2-10	atheist
1-8-2-11	athenian
1-8-2-12	athens
1-8-3-1	atheroma
1-8-3-2	athlet
1-8-3-3	athos
1-8-3-4	athwart
1-8-3-5	atingueu
1-8-3-6	atlanta
1-8-3-7	atlantic
1-8-3-8	atlas
1-8-3-9	atmen
1-8-3-10	atmet
1-8-3-11	atmung
1-8-3-12	atoll
1-8-4-1	atomar
1-8-4-2	atomic
1-8-4-3	atoms
1-8-4-4	atomy
1-8-4-5	atonal
1-8-4-6	atone
1-8-4-7	atonie
1-8-4-8	atony
1-8-4-9	atopie
1-8-4-10	atopy
1-8-4-11	atorguin
1-8-4-12	atregues
1-8-5-1	atria
1-8-5-2	atrium
1-8-5-3	atrocity
1-8-5-4	atrophy
1-8-5-5	atropin
1-8-5-6	attach
1-8-5-7	attack
1-8-5-8	attain
1-8-5-9	attar
1-8-5-10	attempt
1-8-5-11	attend
1-8-5-12	attest
1-8-6-1	attic
1-8-6-2	attila
1-8-6-3	attire
1-8-6-4	attitude
1-8-6-5	attorney
1-8-6-6	attract
1-8-6-7	attune
1-8-6-8	atuell
1-8-6-9	atupeu
1-8-6-10	atypic
1-8-6-11	aubert
1-8-6-12	auction
1-8-7-1	audacity
1-8-7-2	auden
1-8-7-3	audible
1-8-7-4	audibly
1-8-7-5	audience
1-8-7-6	audio
1-8-7-7	audit
1-8-7-8	aufbau
1-8-7-9	aufruf
1-8-7-10	aufzug
1-8-7-11	augen
1-8-7-12	auger
1-8-8-1	augesd
1-8-8-2	augezd
1-8-8-3	aught
1-8-8-4	augment
1-8-8-5	augury
